period_start,crime_head,cases_reported,geography,source,source_url,data_classification,licence
2021-01-01,Assault,1095.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-02-01,Assault,1080.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-03-01,Assault,1215.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-04-01,Assault,1141.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-05-01,Assault,997.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-06-01,Assault,1094.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-07-01,Assault,1070.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-08-01,Assault,1160.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-09-01,Assault,1063.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-10-01,Assault,2.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
