sl_no,district_unit,ipc_bns_crimes,sll_crimes,total_crimes,drishti_district,year,source,data_classification,licence
1,Bengaluru City,37181,19291,56472,Bengaluru Urban,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
2,Mysuru City,2224,1040,3264,Mysuru,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
3,Hubballi Dharwad City,1488,1160,2648,Hubballi-Dharwad,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
4,Mangaluru City,2278,1205,3483,Mangaluru,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
5,Belagavi City,1655,652,2307,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
6,Kalaburagi City,1730,1010,2740,Kalaburagi,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
1,Bengaluru Dist,6433,1187,7620,Bengaluru Urban,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
2,Bengaluru South,3644,936,4580,Bengaluru Urban,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
3,Tumakuru,5961,2509,8470,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
4,Kolar,2245,505,2750,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
5,Chickballapura,2542,1619,4161,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
6,K.G.F,782,360,1142,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
1,Chitradurga,4098,1740,5838,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
2,Davanagere,3385,1386,4771,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
3,Shivamogga,4840,2155,6995,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
4,Haveri,2406,1155,3561,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
1,Dakshina Kannada,1816,417,2233,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
2,Udupi,2249,752,3001,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
3,Chikkamagaluru,2722,1488,4210,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
4,Uttara Kannada,2334,1596,3930,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
1,Belagavi Dist,4535,2059,6594,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
2,Bagalkot,2208,1362,3570,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
3,Vijayapur,3062,1992,5054,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
4,Dharwad,1016,625,1641,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
5,Gadag,1043,1225,2268,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
1,Kalaburagi,2683,1025,3708,Kalaburagi,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
2,Bidar,3054,1172,4226,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
3,Yadgir,1622,1093,2715,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
1,Mysuru Dist,4952,912,5864,Mysuru,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
2,Mandya,4780,1150,5930,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
3,Chamarajanagar,2068,844,2912,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
4,Hassan,4781,1366,6147,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
5,Kodagu,1724,600,2324,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
1,Ballari,1924,1961,3885,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
2,Koppal,1945,1255,3200,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
3,Raichur,2813,1458,4271,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
4,Vijayanagara,1781,1467,3248,Other,2025,Karnataka Police / OpenCity.in,official_aggregate,Open Government Data (India)
