district_normalized,year,crime_head,data_source,data_classification,cases_reported
Bagalkot,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2317
Bagalkot,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,985
Bagalkot,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,132
Bagalkot,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,85
Bagalkot,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,97
Bagalkot,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,35
Bagalkot,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,47
Bagalkot,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,7
Bagalkot,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2
Bagalkot,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,20
Bagalkot,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,367
Bagalkot,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,463
Bagalkot,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,146
Bagalkot,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,20
Bagalkot,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,495
Bagalkot,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,63
Bagalkot,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,50
Bagalkot,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,9
Bagalkot,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,89
Bagalkot,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,8
Bagalkot,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,58
Bagalkot,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,275
Bagalkot,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2208
Bagalkot,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1362
Ballari,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2053
Ballari,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1386
Ballari,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,204
Ballari,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,53
Ballari,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,98
Ballari,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,110
Ballari,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,119
Ballari,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2
Ballari,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1
Ballari,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,11
Ballari,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,215
Ballari,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,691
Ballari,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,73
Ballari,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,18
Ballari,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,338
Ballari,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,54
Ballari,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,35
Ballari,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,14
Ballari,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,96
Ballari,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,9
Ballari,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,36
Ballari,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,323
Ballari,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1924
Ballari,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1961
Belagavi City,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1694
Belagavi City,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,393
Belagavi City,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,173
Belagavi City,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,66
Belagavi City,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,104
Belagavi City,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,62
Belagavi City,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,105
Belagavi City,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,5
Belagavi City,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3
Belagavi City,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3
Belagavi City,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,130
Belagavi City,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,125
Belagavi City,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,54
Belagavi City,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,15
Belagavi City,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,390
Belagavi City,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,28
Belagavi City,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,16
Belagavi City,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,11
Belagavi City,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,57
Belagavi City,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,28
Belagavi City,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,35
Belagavi City,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,270
Belagavi City,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1655
Belagavi City,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,652
Belagavi Dist,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,447
Belagavi Dist,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,119
Belagavi Dist,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,181
